scen,distrib,item,ghg,h2o,plastic
scen0,dining,bev,318.0835887990137,108.60049676766883,0
scen0,dining,cont,135.0678275884594,2.5953126080760596,330.21327695174006
scen0,vending,bev,13.864259235188268,5.940137458575983,0
scen0,vending,cont,24.413753418431952,0.53583032625025,92.009733955
scen6_1,dining,bev,318.0835887990137,108.60049676766883,0
scen6_1,dining,cont,135.0678275884594,2.5953126080760596,330.21327695174006
scen6_1,vending,bev,11.914037230387994,3.07514101957206,0
scen6_1,vending,cont,24.413753418431952,0.53583032625025,92.009733955
scen6_2,dining,bev,318.0835887990137,108.60049676766883,0
scen6_2,dining,cont,135.0678275884594,2.5953126080760596,330.21327695174006
scen6_2,vending,bev,5.094590600576271,0.53117317989389,0
scen6_2,vending,cont,20.59086630008456,0.5738878024192899,109.43623818750001
