scen,distrib,SSB_status,ghg,h2o,plastic
scen0,dining,non_SSB,167.13136201597916,41.39543943092314,213.78018837798
scen0,dining,SSB,286.0200543714939,69.80036994482174,116.43308857376
scen0,vending,non_SSB,10.461601367168862,0.6018695503434459,37.270488927500004
scen0,vending,SSB,27.81641128645136,5.874098234482788,54.73924502750001
scen6_1,dining,non_SSB,167.13136201597916,41.39543943092314,213.78018837798
scen6_1,dining,SSB,286.0200543714939,69.80036994482174,116.43308857376
scen6_1,vending,non_SSB,36.32779064881995,3.61097134582231,92.009733955
scen6_2,dining,non_SSB,167.13136201597916,41.39543943092314,213.78018837798
scen6_2,dining,SSB,286.0200543714939,69.80036994482174,116.43308857376
scen6_2,vending,non_SSB,25.68545690066083,1.10506098231318,109.43623818750001
