distrib,bev_type,cont_type,SSB_status,vol,vol_cont,mix_r_avg
dining,coffee,alum_can,non_SSB,133.4356,133.4356,0
dining,coffee,alum_can,SSB,13.8404,13.8404,0
dining,coffee,glass,non_SSB,949.2004,949.2004,0
dining,coffee,glass,SSB,640.0003,640.0003,0
dining,coffee,plastic,non_SSB,197.4918,197.4918,0
dining,coffee,plastic,SSB,39.12570000000001,39.12570000000001,0
dining,coffee_milk,alum_can,non_SSB,18.4538,18.4538,0
dining,coffee_milk,alum_can,SSB,3876.877,3876.877,0
dining,coffee_milk,glass,non_SSB,423.86220000000003,423.86220000000003,0
dining,coffee_milk,glass,SSB,8036.5053,8036.5053,0
dining,coffee_milk,plastic,non_SSB,72.041,72.041,0
dining,coffee_milk,plastic,SSB,2022.6499,2022.6499,0
dining,juice,alum_can,non_SSB,210.6081,210.6081,0
dining,juice,alum_can,SSB,7849.634899999999,7849.634899999999,0
dining,juice,bag_in_box,SSB,63890.1024,12889.3129,3.956827636638412
dining,juice,carton,non_SSB,1138.03,1138.03,0
dining,juice,carton,SSB,667.1269,667.1269,0
dining,juice,glass,non_SSB,667.1781,667.1781,0
dining,juice,glass,SSB,4986.3757,4986.3757,0
dining,juice,plastic,non_SSB,37195.2288,37195.2288,0
dining,juice,plastic,SSB,12197.842,12197.842,0
dining,milk_almond,carton,non_SSB,511.03,511.03,0
dining,milk_almond,carton,SSB,60821.097299999994,60821.097299999994,0
dining,milk_almond,plastic,SSB,7939.7737,7939.7737,0
dining,milk_an,bag_in_box,SSB,22417.19,22417.19,0
dining,milk_an,carton,non_SSB,1583.8086999999998,1583.8086999999998,0
dining,milk_an,carton,SSB,323.741,323.741,0
dining,milk_an,plastic,non_SSB,55461.4263,55461.4263,0
dining,milk_an,plastic,SSB,433.098,433.098,0
dining,milk_other_plant,bag_in_box,SSB,5178.438,863.0730000000001,4.999999999999999
dining,milk_other_plant,carton,SSB,2360.675,2360.675,0
dining,milk_soy,carton,non_SSB,10527.227299999999,10527.227299999999,0
dining,milk_soy,carton,SSB,31668.0968,31668.0968,0
dining,probiotic,glass,SSB,5575.3618,5575.3618,0
dining,probiotic,plastic,non_SSB,416.7025,416.7025,0
dining,soda,alum_can,non_SSB,18130.4921,18130.4921,0
dining,soda,alum_can,SSB,12251.6541,12251.6541,0
dining,soda,bag_in_box,non_SSB,35794.809,5965.8015,5.000000000000001
dining,soda,bag_in_box,SSB,176248.5048,29374.7508,4.999999999999999
dining,soda,carton,SSB,2.9238,2.9238,0
dining,soda,glass,non_SSB,2880.3572,2880.3572,0
dining,soda,glass,SSB,1232.5281,1232.5281,0
dining,soda,plastic,non_SSB,11166.6967,11166.6967,0
dining,soda,plastic,SSB,30576.4408,30576.4408,0
dining,tea,alum_can,non_SSB,899.9807,899.9807,0
dining,tea,alum_can,SSB,53806.5686,53806.5686,0
dining,tea,bag_in_box,non_SSB,9062.288400000001,1510.3814,5.000000000000001
dining,tea,bag_in_box,SSB,1112.9099999999999,185.48499999999999,5
dining,tea,glass,non_SSB,1865.4366,1865.4366,0
dining,tea,glass,SSB,33869.7048,33869.7048,0
dining,tea,plastic,non_SSB,4082.5295,4082.5295,0
dining,tea,plastic,SSB,12687.9676,12687.9676,0
dining,water_bottled,plastic,non_SSB,80328.7545,80328.7545,0
vending,coffee_milk,alum_can,SSB,663.1822999999999,663.1822999999999,0
vending,coffee_milk,glass,SSB,7129.9669,7129.9669,0
vending,juice,alum_can,SSB,62.10399999999999,62.10399999999999,0
vending,juice,plastic,non_SSB,1070.7517,1070.7517,0
vending,soda,alum_can,non_SSB,5030.7119,5030.7119,0
vending,soda,alum_can,SSB,8496.1454,8496.1454,0
vending,soda,plastic,non_SSB,7498.0782,7498.0782,0
vending,soda,plastic,SSB,41316.1226,41316.1226,0
vending,tea,glass,SSB,25.7142,25.7142,0
vending,tea,plastic,non_SSB,1038.9636,1038.9636,0
vending,tea,plastic,SSB,7911.9912,7911.9912,0
vending,water_bottled,plastic,non_SSB,24160.1348,24160.1348,0
